OrderID,OrderDate,Address,Country,ProductLine,Sales,Latitude,Longitude
1001,2025-01-03,Hanoi,Vietnam,Electronics,1200,21.0285,105.8542
1002,2025-01-05,HCM,Vietnam,Furniture,950,10.8231,106.6297
1003,2025-01-08,Da Nang,Vietnam,Fashion,870,16.0544,108.2022
1004,2025-01-12,Bangkok,Thailand,Toys,1450,13.7563,100.5018
1005,2025-01-16,Tokyo,Japan,Electronics,2500,35.6762,139.6503
1006,2025-01-20,Seoul,Korea,Fashion,1780,37.5665,126.9780
1007,2025-01-25,Singapore,Singapore,Furniture,1320,1.3521,103.8198
1008,2025-02-02,Hanoi,Vietnam,Electronics,1600,21.0285,105.8542
1009,2025-02-05,HCM,Vietnam,Fashion,920,10.8231,106.6297
1010,2025-02-09,Can Tho,Vietnam,Toys,740,10.0452,105.7469
1011,2025-02-14,Tokyo,Japan,Electronics,2800,35.6762,139.6503
1012,2025-02-18,Seoul,Korea,Furniture,1550,37.5665,126.9780
1013,2025-02-21,Bangkok,Thailand,Fashion,1180,13.7563,100.5018
1014,2025-02-27,Singapore,Singapore,Electronics,2100,1.3521,103.8198
1015,2025-03-03,Hanoi,Vietnam,Toys,980,21.0285,105.8542
1016,2025-03-07,HCM,Vietnam,Electronics,1750,10.8231,106.6297
1017,2025-03-10,Da Nang,Vietnam,Furniture,1240,16.0544,108.2022
1018,2025-03-14,Tokyo,Japan,Fashion,2350,35.6762,139.6503
1019,2025-03-18,Seoul,Korea,Electronics,2600,37.5665,126.9780
1020,2025-03-22,Bangkok,Thailand,Toys,990,13.7563,100.5018
1021,2025-03-28,Singapore,Singapore,Furniture,1450,1.3521,103.8198
1022,2025-04-02,Hanoi,Vietnam,Electronics,1850,21.0285,105.8542
1023,2025-04-06,HCM,Vietnam,Fashion,1120,10.8231,106.6297
1024,2025-04-09,Can Tho,Vietnam,Toys,860,10.0452,105.7469
1025,2025-04-13,Tokyo,Japan,Electronics,2950,35.6762,139.6503
1026,2025-04-17,Seoul,Korea,Furniture,1680,37.5665,126.9780
1027,2025-04-20,Bangkok,Thailand,Fashion,1260,13.7563,100.5018
1028,2025-04-25,Singapore,Singapore,Electronics,2200,1.3521,103.8198
1029,2025-05-03,Hanoi,Vietnam,Furniture,1330,21.0285,105.8542
1030,2025-05-06,HCM,Vietnam,Electronics,1920,10.8231,106.6297
1031,2025-05-10,Da Nang,Vietnam,Fashion,980,16.0544,108.2022
1032,2025-05-14,Tokyo,Japan,Toys,1500,35.6762,139.6503
1033,2025-05-18,Seoul,Korea,Electronics,2720,37.5665,126.9780
1034,2025-05-22,Bangkok,Thailand,Furniture,1410,13.7563,100.5018
1035,2025-05-28,Singapore,Singapore,Fashion,1190,1.3521,103.8198
1036,2025-06-03,Hanoi,Vietnam,Electronics,2100,21.0285,105.8542
1037,2025-06-07,HCM,Vietnam,Toys,890,10.8231,106.6297
1038,2025-06-11,Can Tho,Vietnam,Furniture,1280,10.0452,105.7469
1039,2025-06-15,Tokyo,Japan,Electronics,3050,35.6762,139.6503
1040,2025-06-19,Seoul,Korea,Fashion,1890,37.5665,126.9780
1041,2025-06-23,Bangkok,Thailand,Electronics,1700,13.7563,100.5018
1042,2025-06-28,Singapore,Singapore,Furniture,1520,1.3521,103.8198
1043,2025-07-02,Hanoi,Vietnam,Fashion,1080,21.0285,105.8542
1044,2025-07-06,HCM,Vietnam,Electronics,2250,10.8231,106.6297
1045,2025-07-10,Da Nang,Vietnam,Toys,920,16.0544,108.2022
1046,2025-07-14,Tokyo,Japan,Furniture,1780,35.6762,139.6503
1047,2025-07-18,Seoul,Korea,Electronics,2860,37.5665,126.9780
1048,2025-07-22,Bangkok,Thailand,Fashion,1320,13.7563,100.5018
1049,2025-07-27,Singapore,Singapore,Electronics,2400,1.3521,103.8198
1050,2025-07-30,Hanoi,Vietnam,Furniture,1460,21.0285,105.8542
